frame_number,frame_timestamp,node0.is_heartrate_valid,node0.is_spo2_valid,node0.heartrate,node0.spo2
0,0,0,0,87,0
1,639,0,0,93,0
2,1327,0,0,87,0
3,1955,0,0,95,0
4,2609,0,0,91,0
5,3254,0,0,93,0
6,3923,0,0,89,0
7,4617,0,0,86,0
8,5250,1,0,131,0
9,5962,1,0,84,0
10,6400,1,0,136,0
