frame_number,frame_timestamp,mean_rr,sdnn,sdsd,rmssd,sd1,sd2,lf_hf
0,0,599.307678,96.410179,116.519356,115.402969,82.391624,123.270660,0.378649
1,2294,610.000000,101.489883,118.085602,117.056122,83.499130,130.821793,0.518701
2,4598,621.260010,103.472328,123.277206,122.039009,87.170151,132.716721,0.476405
3,6605,620.568604,100.795692,118.443306,117.283638,83.752068,129.662399,0.499868
4,8850,613.058838,101.991463,117.020897,115.867996,82.746269,131.837189,0.681994
5,13007,597.705872,101.670898,109.864197,108.845451,77.685715,132.877411,1.135864
6,14693,587.792480,103.885551,108.286949,107.264091,76.570435,136.575623,1.381699
7,15281,588.000000,103.874550,108.498329,107.470482,76.719902,136.516922,1.400636
8,17462,582.943420,84.293304,75.847778,75.165352,53.632477,113.015488,2.075830
9,19789,592.849060,94.874695,73.596985,72.979057,52.040928,129.028244,3.762664
10,21893,598.019226,98.493851,73.557014,72.987885,52.012665,134.348129,4.129236
11,23808,586.622620,99.341339,66.451866,65.860344,46.988567,136.504364,4.691699
12,24359,585.641479,99.433220,66.369637,65.741631,46.930420,136.648071,4.906563
13,24843,584.754700,100.136993,66.553612,65.951385,47.060509,137.649872,5.597959
14,25375,583.777771,99.447281,66.272308,65.663567,46.861599,136.680359,5.678475
15,25917,582.962952,99.608856,66.173973,65.558990,46.792065,136.927353,5.751296
16,26428,582.111084,100.030876,66.075241,65.479851,46.722252,137.553146,5.816869
17,26925,580.277771,100.676659,66.093369,65.506294,46.735069,138.490051,5.807381
18,27424,578.425903,101.243896,65.269112,64.663376,46.152233,139.411758,5.618917
19,27917,577.888916,101.625031,64.262512,63.698509,45.440456,140.081665,5.236256
20,28463,576.814819,101.650352,64.545364,63.966572,45.640465,140.085907,5.440098
21,28958,574.222229,101.923325,64.350624,63.768242,45.502762,140.504379,5.885302
22,29498,573.629639,102.029457,64.429092,63.829926,45.558247,140.649353,5.970048
23,30027,573.574097,102.053383,62.147484,61.614391,43.944908,140.940445,6.344865
24,30535,572.381836,101.489922,61.620525,61.117325,43.572292,140.182510,6.324204
25,32076,563.872742,99.765846,58.779621,58.572102,41.563469,137.995239,5.040214
26,32600,558.381836,93.164032,58.365837,57.987930,41.270882,128.481247,5.246458
27,34081,547.178589,87.341560,51.825184,51.376762,36.645939,120.771004,7.293988
