frame_number,frame_timestamp,node0.is_heartrate_valid,node0.is_spo2_valid,node0.heartrate,node0.spo2
0,0,1,0,106,0
1,563,1,0,106,0
2,1094,1,0,112,0
3,1659,1,0,106,0
