frame_number,frame_timestamp,mean_rr,sdnn,sdsd,rmssd,sd1,sd2,lf_hf
0,0,574.735840,62.990276,46.013515,45.582809,32.536469,86.059509,2.075432
1,2116,586.566040,63.655476,47.525593,47.269802,33.605667,86.829536,1.711726
