frame_number,frame_timestamp,node0.is_heartrate_valid,node0.is_spo2_valid,node0.heartrate,node0.spo2
0,0,1,0,87,0
1,662,1,0,90,0
2,1275,0,0,97,0
3,1915,0,0,93,0
4,2583,0,0,89,0
5,3241,0,0,91,0
6,3866,0,0,96,0
7,4540,0,0,89,0
8,5147,0,0,98,0
9,5839,0,0,86,0
10,6468,0,0,95,0
11,7074,0,0,99,0
12,7732,1,0,120,0
13,8491,1,0,79,0
14,8924,1,0,138,0
15,9440,0,0,116,0
16,9944,0,0,119,0
17,10535,0,0,101,0
18,11087,0,0,108,0
19,11150,1,0,90,0
20,11801,1,0,92,0
21,12383,1,0,103,0
22,13185,1,0,74,0
23,13914,1,0,82,0
24,14678,0,0,78,0
25,15533,0,0,70,0
26,16262,1,0,94,0
27,16971,1,0,84,0
28,17808,1,0,71,0
29,18648,0,0,71,0
30,19485,1,0,92,0
31,20107,1,0,96,0
32,20890,1,0,76,0
33,21632,1,0,80,0
