frame_number,frame_timestamp,mean_rr,sdnn,sdsd,rmssd,sd1,sd2,lf_hf
0,0,539.245605,79.757286,82.650803,81.922623,58.442944,104.950752,1.006588
1,515,539.315796,79.733742,82.635040,81.907204,58.431797,104.918068,1.035459
2,1031,539.140381,79.774559,81.456062,80.763138,57.598137,105.210213,1.050632
3,1560,537.385986,78.857399,77.225197,76.717865,54.606461,104.623352,1.166763
