frame_number,frame_timestamp,mean_rr,sdnn,sdsd,rmssd,sd1,sd2,lf_hf
0,0,577.089294,63.435089,60.120918,59.586071,42.511909,84.524490,1.265008
1,649,576.642883,62.825714,58.966377,58.448544,41.695526,83.814568,1.479029
2,1254,576.982117,62.928383,56.160503,55.729576,39.711472,84.447983,1.524898
3,1907,580.660706,61.188904,56.099392,55.665455,39.668262,81.861946,1.835410
4,2568,585.599976,59.681751,56.431004,56.005684,39.902744,79.546890,1.975556
5,3287,589.799988,60.803696,56.865883,56.478153,40.210251,81.152611,1.746290
