frame_number,frame_timestamp,mean_rr,sdnn,sdsd,rmssd,sd1,sd2,lf_hf
0,0,666.893616,151.516281,185.418533,183.471832,131.110703,193.182190,1.331517
1,762,661.361694,142.762863,176.301620,174.441971,124.664070,181.636734,1.182002
