frame_number,frame_timestamp,mean_rr,sdnn,sdsd,rmssd,sd1,sd2,lf_hf
0,0,568.854553,95.432625,69.142410,68.511841,48.891068,130.459198,3.307309
1,566,569.381836,95.333427,68.242203,67.649094,48.254524,130.432648,3.465509
2,1015,569.254517,95.492142,70.103333,69.463135,49.570541,130.418091,4.418774
3,3178,570.799988,94.213394,63.280239,62.773621,44.745888,129.426544,4.206357
4,3707,571.418152,93.817520,65.701416,65.107605,46.457916,128.546814,4.248222
5,7015,582.722229,86.365921,66.623840,66.048103,47.110172,117.509407,2.235287
6,7664,586.962952,83.809532,67.636993,67.091286,47.826576,113.597466,1.912703
7,8341,593.226440,81.924606,68.310951,67.801460,48.303139,110.709915,1.963114
8,11857,595.470581,82.800079,74.204277,73.518974,52.470348,111.063667,2.316416
9,15120,597.000000,81.847061,74.891914,74.247894,52.956581,109.524811,1.950617
10,19961,623.880005,91.623367,75.105247,74.353210,53.107430,124.014046,1.753863
11,20473,618.260010,89.634598,87.142815,86.413536,61.619274,119.038879,1.713690
12,21306,619.700012,92.506859,97.762848,96.833572,69.128769,121.349266,1.597365
13,25610,642.979187,121.087006,95.959320,95.263229,67.853485,164.383942,2.482491
14,28563,674.869568,147.783279,94.316437,93.817818,66.691788,203.607224,2.149191
