frame_number,frame_timestamp,node0.is_heartrate_valid,node0.is_spo2_valid,node0.heartrate,node0.spo2
0,0,1,0,107,0
1,566,1,0,106,0
2,1015,1,0,133,0
3,1533,0,0,115,0
4,2125,0,0,101,0
5,2730,0,0,99,0
6,3178,1,0,91,0
7,3707,1,0,113,0
8,4284,0,0,103,0
9,4810,0,0,114,0
10,5391,0,0,103,0
11,5938,0,0,109,0
12,6484,0,0,109,0
13,7015,1,0,109,0
14,7664,1,0,92,0
15,8341,1,0,88,0
16,9010,0,0,89,0
17,9740,0,0,82,0
18,10428,0,0,87,0
19,11180,0,0,79,0
20,11857,1,0,116,0
21,12467,0,0,98,0
22,13062,0,0,100,0
23,13636,0,0,104,0
24,14224,0,0,102,0
25,14802,0,0,103,0
26,15120,1,0,89,0
27,15817,0,0,86,0
28,16515,0,0,85,0
29,17287,0,0,77,0
30,18025,0,0,81,0
31,18781,0,0,79,0
32,19486,0,0,85,0
33,19961,1,0,72,0
34,20473,1,0,117,0
35,21306,1,0,72,0
36,22143,0,0,71,0
37,23026,0,0,67,0
38,23876,0,0,70,0
39,24778,0,0,66,0
40,25610,1,0,66,0
41,26638,0,0,58,0
42,27667,0,0,58,0
43,28563,1,0,62,0
